School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
The Urban Assembly School for Law and Justice,"283 Adams Street, Brooklyn, NY 11201",40.694846,-73.988673,0.929,0.954,63.2,0,0,0,74.5,62.9,73,0,64.3,0,70.2,453,471,0.824,0.42,0.75,0.697
The Williamsburg High School of Art and Technology,"223 Graham Avenue, Brooklyn, NY 11206",40.709873,-73.943627,0.891,0.947,64.6,0,0,62.9,62.2,53.4,67,0,64.7,0,65.5,423,433,0.833,0.61,0.566,0.567
Theatre Arts Production Company School,"2225 Webster Avenue, Bronx NY 10457",40.854257,-73.897404,0.788,0.873,52.2,38.5,0,52.2,63.8,47,63.5,0,59.1,0,62.9,416,420,0.787,0.363,0.648,0.567
Thomas A. Edison Career and Technical Education High School,"165-65 84th Avenue, Jamaica NY 11432",40.716071,-73.799692,0.948,0.957,67.6,71.2,70.8,72.4,78.4,64.4,75.1,0,69.9,59.7,76.1,525,510,0.938,0.892,0.805,0.782
Thurgood Marshall Academy for Learning and Social Change,"200-214 West 135th Street, Manhattan NY 10030",40.815237,-73.944299,0.867,0.922,58.5,0,54.3,0,67.8,57.7,63.5,0,62.6,0,62.9,407,413,0.881,0.867,0.649,0.266
Tottenville High School,"100 Luten Avenue, Staten Island NY 10312",40.528152,-74.193431,0.958,0.963,66.4,64.7,59.1,0,81.9,59.7,72.2,77.5,65.8,67.9,70.7,508,512,0.911,0.794,0.76,0.689
Townsend Harris High School,"149-11 Melbourne Avenue, Flushing NY 11367",40.737038,-73.821532,0.994,1,78.2,81.1,74.6,66,93.8,75.6,84,85.8,78.1,81.1,85.8,676,665,0.955,0.986,0.99,0.906
Transit Tech Career and Technical Education High School,"1 Wells Street, Brooklyn NY 11208",40.67878,-73.875328,0.862,0.886,56.6,42.3,40.7,45.6,72,44.8,65.7,0,53.4,0,61.1,384,407,0.867,0.899,0.371,0.54
Union Square Academy for Health Sciences,"40 Irving Place, Manhattan NY 10003",40.735361,-73.987064,0.946,0.932,62.1,46.5,52.9,63.6,76.2,52.6,65.2,91.8,63.2,0,65.3,426,455,0.93,0.94,0.798,0.705
Unity Center for Urban Technologies,"111 East 33rd Street, Manhattan NY 10016",40.74651,-73.98107,0.953,0.949,71.7,63.5,54.7,0,75.8,0,74,0,73.5,0,69.5,439,454,0.837,0.921,0.763,0.667
Unity Preparatory Charter School of Brooklyn,"432 Monroe Street, Brooklyn, NY 11221",40.686581,-73.940933,0.868,0.919,61.9,48.5,45.5,52.8,60,50.7,66.1,79.8,57.3,0,68.7,0,0,0.848,0.375,0.676,0.554
University Heights Secondary School,"701 St. Anns Avenue, Bronx NY 10455",40.818041,-73.911633,1,0.993,0,0,0,0,83.2,0,0,0,0,0,0,483,500,0.932,0.993,0.889,0.88
University Neighborhood High School,"200 Monroe Street, Manhattan NY 10002",40.712269,-73.984128,0.983,0.985,71.4,61.6,58.2,74.6,73.3,69.6,72.9,76.9,71.6,0,66.6,462,447,0.878,0.883,0.813,0.8
University Prep Charter High School,"600 Saint Ann's Avenue, Bronx, NY 10455",40.815031,-73.912541,0.981,0.991,68.9,51,47.4,0,77.6,50.3,74.9,80.4,70.9,0,77,0,0,0.918,0.321,0.868,0.895
Urban Action Academy,"1600 Rockaway Parkway, Brooklyn NY 11236",40.640543,-73.898601,0.717,0.792,58.3,0,0,0,68.6,40.8,60.5,0,48.7,0,68.2,381,415,0.858,0.337,0.333,0.471
"Urban Assembly Academy of Government and Law, The","350 Grand Street, Manhattan NY 10002",40.717329,-73.989329,0.901,0.883,60.7,53.4,0,72.9,72.3,53.6,67.8,81.6,65.8,0,66.4,426,428,0.801,0.401,0.7,0.703
Urban Assembly Charter School for Computer Science,"447 Wales Avenue, Bronx, NY 10455",40.83274,-73.887818,0,0,64.8,66.3,67.8,0,73.2,0,73.4,0,68.8,70.6,64.3,0,0,0.913,0.889,0,0.626
Urban Assembly Gateway School for Technology,"439 West 49th Street, Manhattan NY 10019",40.763655,-73.990318,0.918,0.99,64,56.2,57.3,77.9,71.6,56.4,75.8,0,70.7,40.8,72.7,469,481,0.87,0.883,0.886,0.721
Urban Assembly Institute of Math and Science for Young Women,"283 Adams Street, Brooklyn NY 11201",40.694629,-73.988323,0.944,0.984,57.4,40.7,0,47.1,50.6,50,57.8,0,54.3,0,0,423,435,0.818,0.986,0.77,0.71
Urban Assembly Maker Academy,"411 Pearl Street, Manhattan NY 10038",40.711441,-74.000851,0.951,0.943,64.8,52.8,0,54.3,73.2,48.3,63.9,0,67.9,0,56,462,480,0.865,0.951,0.733,0.618
Urban Assembly New York Harbor School,"10 South Street, Slip 7, Manhattan NY 10004",40.689493,-74.018941,0.944,0.929,60,56,69.3,75.5,79.2,59.9,73.8,0,68.2,0,72.4,479,499,0.89,0.657,0.659,0.616
"Urban Assembly School for Applied Math and Science, The","1595 Bathgate Avenue, Bronx NY 10457",40.839508,-73.901774,0.854,0.953,53.7,48.4,0,0,59.2,0,60.4,89.6,63.8,0,67.1,425,428,0.784,0.604,0.628,0.684
Urban Assembly School for Leadership and Empowerment,"4200 16th Avenue, Brooklyn NY 11204",40.6351,-73.982424,0.938,0.943,67.6,61.5,62.8,70.1,71.9,60.4,72.5,70.7,73.3,0,78.7,451,470,0.879,0.938,0.828,0.835
"Urban Assembly School for Media Studies, The","122 Amsterdam Avenue, Manhattan NY 10023",40.774891,-73.985608,0.907,0.949,56,51,0,0,58.5,0,63.3,0,56.1,0,57.3,418,437,0.78,0.902,0.639,0.614
Urban Assembly School for the Performing Arts,"509 West 129th Street, Manhattan NY 10027",40.815747,-73.95552,0.829,0.814,56.9,53.3,0,60.8,64.8,0,58.5,0,56,0,53.2,397,418,0.761,0.771,0.515,0.563
"Urban Assembly School of Business for Young Women, the","26 Broadway, Manhattan NY 10004",40.705688,-74.013303,0.963,0.771,65,0,0,51.8,73.4,47.9,56.8,0,55.2,0,0,403,412,0.808,0.241,0.686,0.618
"Urban Assembly School of Design and Construction, The","525 West 50th Street, Manhattan NY 10019",40.765474,-73.9927,0.754,0.86,52.3,44.6,38.5,62.9,77,47.1,68.8,92.5,57.8,0,62.3,427,440,0.823,0.525,0.491,0.484
Urban Assembly School of Music and Art,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",40.6973,-73.984998,0.917,0.792,61,0,0,0,65.9,0,65.9,0,55.6,0,72,408,416,0.794,0.472,0.417,0.491
Validus Preparatory Academy,"1595 Bathgate Avenue, Bronx NY 10457",40.839508,-73.901774,0.743,0.778,56,42.2,0,0,67.6,0,56,0,58.3,0,65.7,405,418,0.828,0.214,0.444,0.511
Vanguard High School,"317 East 67th Street, Manhattan NY 10065",40.765638,-73.959777,0.829,0.825,0,0,0,0,71,0,0,0,0,0,0,437,455,0.781,0.488,0.534,0.538
Veritas Academy,"35-01 Union Street, Flushing NY 11354",40.764892,-73.826811,0.871,0.867,64.7,56.9,61,64.5,73.8,56.7,70.6,82.8,69.2,0,71.6,437,438,0.858,0.562,0.658,0.624
Victory Collegiate High School,"6565 Flatlands Avenue, Brooklyn NY 11236",40.634451,-73.916927,0.906,0.899,60.5,0,0,56,64.6,52.5,62.6,0,0,0,0,408,410,0.834,0.283,0.71,0.42
W. H. Maxwell Career and Technical Education High School,"145 Pennsylvania Avenue, Brooklyn NY 11207",40.673766,-73.895976,0.764,0.848,59.3,49.6,0,53,61.5,51.8,57,0,51.2,0,59.6,367,389,0.791,0.547,0.467,0.315
Wadleigh Secondary School for the Performing & Visual Arts,"215 West 114th Street, Manhattan NY 10026",40.80261,-73.954152,1,1,59.5,47.4,0,52.9,68.5,48.8,68.3,0,62.8,0,64.6,417,423,0.861,0.937,0.63,0.467
Washington Heights Expeditionary Learning School,"511 West 182nd Street, Manhattan NY 10033",40.849311,-73.930991,0.918,0.96,60.5,49.4,0,57,63.9,52.1,64.9,0,61.6,0,58.3,445,452,0.815,0.582,0.733,0.728
West Bronx Academy for the Future,"500 East Fordham Road, Bronx NY 10458",40.859466,-73.888625,0.985,1,59.6,41.5,47.1,48.2,69.5,43.5,62.9,82.2,54,0,61.8,450,464,0.904,0.846,0.721,0.634
